skill_id,total_demand,roles_requiring,avg_importance,avg_proficiency,proficiency_std,employee_count,total_supply,gap_ratio,gap_score,criticality,departments_affected,skill_name
SK001,23.65,9.0,0.9166666666666666,2.5652173913043477,1.0215078369104984,69,177.0,0.13361581920149063,0.9999999251585681,low,"['1', '2', '3', '6', '9', '11', '12', '13', '15']",Python
SK041,11.87,5.0,0.9119999999999999,2.403225806451613,0.8190293619379909,62,149.0,0.07966442952485472,0.5962199987901283,low,"['2', '4', '5', '7', '8']",Communication
SK021,15.29,7.0,0.8914285714285715,2.6533333333333333,0.830065665480153,75,199.0,0.07683417085041033,0.5750379375676035,low,"['1', '2', '8', '9', '11', '12', '13']",SQL
SK043,8.16,6.0,0.5866666666666667,2.4375,0.8886408384057867,64,156.0,0.05230769230433925,0.39147825985093465,low,"['1', '2', '5', '6', '8', '10']",Problem Solving
SK042,5.550000000000001,2.0,0.925,2.574074074074074,0.8149974383997676,54,139.0,0.03992805755108431,0.29882730055039675,low,"['4', '7']",Leadership
SK002,6.16,3.0,0.8933333333333334,2.767857142857143,1.0088890637018242,56,155.0,0.03974193548130697,0.297434336326849,low,"['5', '10', '12']",JavaScript
SK012,3.4,2.0,0.6950000000000001,2.3404255319148937,0.9389308384188636,47,110.0,0.03090909090628099,0.23132806263298755,low,"['10', '12']",React
SK035,4.18,2.0,0.58,2.389830508474576,0.8713237878028559,59,141.0,0.02964539006881947,0.2218703445990271,low,"['3', '14']",Kubernetes
SK039,4.7299999999999995,3.0,0.4566666666666667,2.590909090909091,0.991925442720411,66,171.0,0.027660818711832697,0.2070175283657493,low,"['3', '13', '15']",Linux
SK022,4.34,3.0,0.57,2.4925373134328357,0.9750389942219125,67,167.0,0.025988023950539636,0.1944980928221468,low,"['4', '8', '13']",Data Analysis
SK004,3.88,2.0,0.625,2.603448275862069,0.9354547664557036,58,151.0,0.025695364236708915,0.19230778561393874,low,"['1', '11']",Java
SK034,5.41,3.0,0.5666666666666668,2.546511627906977,0.9287179872615804,86,219.0,0.024703196345903962,0.1848822590372277,low,"['3', '13', '14']",Docker
SK051,3.51,2.0,0.585,2.5076923076923077,0.8682431421244591,65,163.0,0.021533742329967253,0.16116161130501014,low,"['1', '4']",Agile Methodologies
SK036,3.13,2.0,0.595,2.393939393939394,0.8390248530065747,66,158.0,0.019810126581024674,0.14826182421209472,low,"['3', '6']",CI/CD Pipelines
SK025,2.79,2.0,0.46499999999999997,2.3833333333333333,0.8847419745789848,60,143.0,0.01951048950912514,0.1460192974569175,low,"['2', '13']",Machine Learning
SK055,3.76,3.0,0.6266666666666666,2.808219178082192,0.9228207699851482,73,205.0,0.018341463413739437,0.13727013875040803,low,"['4', '5', '8']",User Stories
SK023,2.72,1.0,0.68,2.5076923076923077,0.8860565184265358,65,163.0,0.016687116563393427,0.12488877001413891,low,['2'],Data Visualization
SK031,2.58,2.0,0.43,2.719298245614035,0.901474703807051,57,155.0,0.0166451612892487,0.12457477073429715,low,"['3', '14']",AWS
SK011,3.0599999999999996,3.0,0.5099999999999999,2.527027027027027,0.8947789651750911,74,187.0,0.0163636363627613,0.12246779786910718,low,"['5', '10', '12']",HTML & CSS
SK026,2.52,1.0,0.63,2.706896551724138,0.95529219723243,58,157.0,0.016050955412990384,0.12012764886401138,low,['13'],Deep Learning
SK016,3.01,2.0,0.565,2.739130434782609,0.9179929179696623,69,189.0,0.01592592592508328,0.11919191027185282,low,"['11', '12']",Node.js
SK056,2.7800000000000002,2.0,0.58,2.657142857142857,0.9307269137570473,70,186.0,0.014946236558336224,0.11185977475615953,low,"['4', '8']",JIRA
SK033,2.37,1.0,0.79,2.463768115942029,0.9168313422570846,69,170.0,0.013941176469768167,0.10433776112518141,low,['14'],GCP
SK024,2.2199999999999998,1.0,0.74,2.75,0.9320107659231253,60,165.0,0.013454545453730026,0.10069574491388125,low,['2'],Statistics
SK071,2.2800000000000002,1.0,0.76,2.6911764705882355,1.0545898678106336,68,183.0,0.012459016392761804,0.09324506285833693,low,['15'],OWASP
SK037,1.77,1.0,0.59,2.46875,0.7339553638951596,64,158.0,0.011202531644860599,0.08384135107201522,low,['14'],Terraform
SK070,1.44,1.0,0.48,2.517857142857143,0.8088391553459683,56,141.0,0.010212765956722498,0.07643380292406676,low,['6'],Integration Testing
SK015,1.52,1.0,0.76,2.629032258064516,0.8913771067754332,62,163.0,0.009325153373661034,0.06979078324319528,low,['10'],Next.js
SK068,1.54,1.0,0.77,2.6615384615384614,0.9232571939356042,65,173.0,0.008901734103531692,0.06662185279042061,low,['15'],Penetration Testing
SK049,1.1099999999999999,1.0,0.37,2.5555555555555554,1.0217754925778482,54,138.0,0.008043478260286703,0.06019854315432389,low,['7'],Mentoring
SK054,1.26,1.0,0.42,2.5,0.8728715609439696,64,160.0,0.007874999999507812,0.058937627723975976,low,['8'],Requirements Analysis
SK003,1.3,1.0,0.65,2.6984126984126986,0.9093585231948491,63,170.0,0.0076470588230795845,0.05723168331761005,low,['10'],TypeScript
SK059,1.12,1.0,0.56,2.6315789473684212,1.0287228376446833,57,150.0,0.007466666666168889,0.05588160258249994,low,['9'],MongoDB
SK069,1.12,1.0,0.56,2.507936507936508,0.9135717898767325,63,158.0,0.007088607594488063,0.053052154350653705,low,['6'],Unit Testing
SK032,1.29,1.0,0.43,2.7941176470588234,0.9233104542394254,68,190.0,0.006789473683853186,0.05081339332643563,low,['14'],Azure
SK040,0.88,1.0,0.44,2.310344827586207,0.9023730226410364,58,134.0,0.00656716417861439,0.04914959715372651,low,['3'],Bash Scripting
SK044,0.99,1.0,0.33,2.6491228070175437,1.0087337902782492,57,151.0,0.006556291390294285,0.049068223648917365,low,['7'],Project Management
SK017,0.94,1.0,0.47,2.6785714285714284,0.9362816758985391,56,150.0,0.006266666666248888,0.04690063073888387,low,['11'],Django
SK048,0.82,1.0,0.41,2.5625,0.9236745114890867,64,164.0,0.004999999999695122,0.03742071601527988,low,['4'],Negotiation
SK067,0.8,1.0,0.4,2.5873015873015874,0.8354044922327154,63,163.0,0.004907975459821597,0.036731991180629094,low,['15'],Cybersecurity
SK072,0.62,1.0,0.31,2.5,1.1372481406154658,76,190.0,0.003263157894565097,0.024421940978596967,low,['15'],Encryption
SK009,0.0,,,2.5873015873015874,0.9093585231948492,63,163.0,0.0,0.0,low,[],Kotlin
SK008,0.0,,,2.622950819672131,0.8787099336760588,61,160.0,0.0,0.0,low,[],Swift
SK007,0.0,,,2.5737704918032787,0.939131094743835,61,157.0,0.0,0.0,low,[],Rust
SK006,0.0,,,2.625,1.05421232982907,56,147.0,0.0,0.0,low,[],Go
SK005,0.0,,,2.6901408450704225,0.9941478662046586,71,191.0,0.0,0.0,low,[],C++
SK038,0.0,,,2.6507936507936507,0.9698475131012683,63,167.0,0.0,0.0,low,[],Ansible
SK027,0.0,,,2.4411764705882355,0.8874305176278355,68,166.0,0.0,0.0,low,[],Pandas
SK028,0.0,,,2.588235294117647,0.9016617183057739,68,176.0,0.0,0.0,low,[],NumPy
SK014,0.0,,,2.4516129032258065,0.8994974800143071,62,152.0,0.0,0.0,low,[],Vue.js
SK013,0.0,,,2.6122448979591835,0.8854454277041452,49,127.99999999999999,0.0,0.0,low,[],Angular
SK010,0.0,,,2.5660377358490565,0.930455512148261,53,136.0,0.0,0.0,low,[],PHP
SK030,0.0,,,2.390625,0.8090203266228168,64,153.0,0.0,0.0,low,[],Power BI
SK029,0.0,,,2.5970149253731343,1.000904159316712,67,174.0,0.0,0.0,low,[],Tableau
SK020,0.0,,,2.4545454545454546,0.8975491104081188,66,162.0,0.0,0.0,low,[],ASP.NET
SK018,0.0,,,2.546875,0.7752047860516991,64,163.0,0.0,0.0,low,[],Flask
SK019,0.0,,,2.5090909090909093,0.9976403135831047,55,138.0,0.0,0.0,low,[],Spring Boot
SK057,0.0,,,2.6666666666666665,0.8798826901281196,63,168.0,0.0,0.0,low,[],Confluence
SK050,0.0,,,2.5185185185185186,1.004532008576316,54,136.0,0.0,0.0,low,[],Conflict Resolution
SK052,0.0,,,2.573529411764706,0.9354730062330466,68,175.0,0.0,0.0,low,[],Scrum
SK053,0.0,,,2.6470588235294117,0.8677218312746247,51,135.0,0.0,0.0,low,[],Product Management
SK047,0.0,,,2.5344827586206895,0.9949965571901879,58,147.0,0.0,0.0,low,[],Time Management
SK045,0.0,,,2.5166666666666666,0.8923719424185295,60,151.0,0.0,0.0,low,[],Teamwork
SK046,0.0,,,2.5616438356164384,0.9426072201002301,73,187.0,0.0,0.0,low,[],Critical Thinking
SK058,0.0,,,2.725806451612903,1.0109134781402231,62,169.0,0.0,0.0,low,[],Technical Writing
SK065,0.0,,,2.6363636363636362,0.8247027829070787,55,145.0,0.0,0.0,low,[],Oracle
SK064,0.0,,,2.683333333333333,0.9476405430700273,60,161.0,0.0,0.0,low,[],Cassandra
SK063,0.0,,,2.793103448275862,1.021842516957278,58,162.0,0.0,0.0,low,[],Elasticsearch
SK062,0.0,,,2.6140350877192984,0.839948679659152,57,149.0,0.0,0.0,low,[],Redis
SK061,0.0,,,2.6285714285714286,0.9952267030562385,70,184.0,0.0,0.0,low,[],MySQL
SK060,0.0,,,2.589041095890411,0.8793244951280021,73,189.0,0.0,0.0,low,[],PostgreSQL
SK066,0.0,,,2.625,0.8950175071070785,72,189.0,0.0,0.0,low,[],Snowflake
SK073,0.0,,,2.3703703703703702,0.8309189342721321,54,128.0,0.0,0.0,low,[],Identity Management
